	reaction	equ	g0
ALAR	ALAR	ala__L_c --> ala__D_c	-0.0
ALATA_L	ALATA_L	glu__L_c + pyr_c --> akg_c + ala__L_c	0.2
ASNN	ASNN	asn__L_c + h2o_c --> asp__L_c + nh4_c	-17.3
ASNS1	ASNS1	asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c	-43
ASNS2	ASNS2	asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c	-29
ASPT	ASPT	asp__L_c --> fum_c + nh4_c	13.8
ASPTA	ASPTA	akg_c + asp__L_c --> glu__L_c + oaa_c	2.8
DAAD	DAAD	ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c	19.0
VPAMT	VPAMT	3mob_c + ala__L_c --> pyr_c + val__L_c	-1.6
ACHMSC	ACHMSC	achms_c + cys__L_c --> ac_c + cyst__L_c + h_c	-74
ACNML	ACNML	acnam_c --> acmana_c + pyr_c	7.6
ADNUC_num1	ADNUC_num1	adn_c + h2o_c --> ade_c + rib__D_c	-6.0
AGDC	AGDC	acgam6p_c + h2o_c --> ac_c + gam6p_c	-10
ALCD19_num1	ALCD19_num1	glyald_c + h_c + nadh_c --> glyc_c + nad_c	-35.0
ALDD19x	ALDD19x	h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c	-45.8
ALDD2x	ALDD2x	acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c	-58.1
AMALT1	AMALT1	malt_c + malttr_c --> glc__D_c + maltttr_c	-3.0
AMALT2	AMALT2	malt_c + maltttr_c --> glc__D_c + maltpt_c	0.4
AMALT3	AMALT3	malt_c + maltpt_c --> glc__D_c + malthx_c	-1.3
AMALT4	AMALT4	malt_c + malthx_c --> glc__D_c + malthp_c	-1.3
AMANAPEr	AMANAPEr	acmanap_c --> acgam6p_c	-2.2
ARAI_num1	ARAI_num1	arab__L_c --> rbl__L_c	4.9
BETALDHx	BETALDHx	betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c	-45.2
BETALDHy	BETALDHy	betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c	-44.9
CBMKr	CBMKr	atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c	18
DHACOAH	DHACOAH	23dhacoa_c + h2o_c --> 3hadpcoa_c	0.4
DHAPT	DHAPT	dha_c + pep_c --> dhap_c + pyr_c	-40.2
DHPTDNRN	DHPTDNRN	dhptdn_c + 3.0 h_c + nadh_c --> nad_c + thptdn_c	0.0
DRPA	DRPA	2dr5p_c --> acald_c + g3p_c	20.3
FFSD_num1	FFSD_num1	h2o_c + suc6p_c --> fru_c + g6p_c	-21.1
FRUK	FRUK	atp_c + f1p_c --> adp_c + fdp_c + h_c	-20.1
G3PD2	G3PD2	glyc3p_c + nadp_c --> dhap_c + h_c + nadph_c	21.8
G3PT	G3PT	glyc3p_c + h2o_c --> glyc_c + pi_c	-13.2
G6PDA	G6PDA	gam6p_c + h2o_c --> f6p_c + nh4_c	2.1
GLCATr	GLCATr	accoa_c + glc__D_c --> acglc__D_c + coa_c	-1.7
GLCRD	GLCRD	glcr_c --> 5dh4dglc_c + h2o_c	-41.0
GLYCDx	GLYCDx	dha_c + h_c + nadh_c --> glyc_c + nad_c	-19.8
GLYK	GLYK	atp_c + glyc_c --> adp_c + glyc3p_c + h_c	-17.4
