,kcat,MW,kcat_MW
ALAR,275.128125,78346.4468000001,12642.069812411692
ALATA_L,52.828541666666666,46748.85590000004,4068.1797733578296
ASNN,270.275545,33298.22399999999,29220.53626643873
ASNS1,2.037777777777778,72387.69100000027,101.34319659401726
ASPT,131.90357142857144,57567.95390000005,8248.562350638917
ASPTA,161.435,94590.00520000012,6144.052944824231
DAAD,255.1264642857143,44705.46800000002,20544.584645184143
2METS,18.301538461538463,85189.59560000009,773.3988874756251
ACNML,24.75333333333333,32724.746600000028,2723.076853404876
ADNUC_num1,14.496153846153849,47769.33190000007,1092.4614552993942
AGDC,131.68615625,40505.19610000008,11703.93451076266
ALCD19_num1,292.8888888888889,37284.043600000055,28280.19437247945
ALDD19x,31.24904761904762,55105.55960000007,2041.47407711964
ALDD2x,2.22,51083.937600000136,156.44839406428176
AMALT1,1169.6714,78523.43850000044,53624.97007820125
AMALT2,1169.6714,78523.43850000044,53624.97007820125
AMALT3,1169.6714,78523.43850000044,53624.97007820125
AMALT4,1169.6714,78523.43850000044,53624.97007820125
ARAI_num1,90.25315789473684,7458.6584,43561.63682480118
BETALDHx,5.385334968566895,52322.491300000125,370.5329277170863
BETALDHy,4.678232192993164,52322.491300000125,321.8813836331098
DHACOAH,5.203091144561768,36529.61010000005,512.7656186076384
DHAPT,6.602202892303467,39240.35870000007,605.701150542552
DHPTDNRN,9.135900497436523,42009.95970000003,782.8915339514468
DRPA,107.5737,22519.556799999977,17196.84465548631
FFSD_num1,322071.52695652173,47782.839400000055,24265144.38243025
G3PT,2.282714605331421,25277.483199999984,325.1024840634894
G6PDA,224.3142857142857,27277.35800000001,29604.45907449791
GLCRD,21.762727272727272,69601.5585000003,1125.633101761907
GLYCDx,20.05473899841309,27063.406599999995,2667.700391948704
GLYK,3285.0,56144.53370000014,210634.9313219066
GNK_num1,9.4,18469.66759999999,1832.1932334071903
GUI1,67.86666666666666,57453.80120000014,4252.460148798638
HCO3E,2907913.636363636,22228.03730000002,470958769.3065945
HXCT,290.0,78908.3846000001,13230.533172009693
MALGT,105.02,69449.90270000021,5443.808922715724
MAN1PG,104.49166666666667,37033.46390000001,10157.569948513508
MAN6PI,22925.15333333333,42833.65220000009,1926768.9716171296
MCITL2_num1,63.21666666666667,133657.83880000003,1702.7059695356977
MM_COA_ADD5,3.84,57996.135500000055,238.36070939588703
MMM2,134.3590909090909,145540.92390000084,3323.413884640899
MSDH_num1,1.8809090909090909,53643.12570000007,126.22815391372168
PFK_2,84.62,74926.25080000008,4065.7579519513297
PGLYCP_num1,22.739444444444445,24766.549900000005,3305.345327893248
PGMT,142.13625,59206.42900000016,8642.482052075773
PMANM_num1,24.803846153846155,62579.15660000019,1426.8943687529002
RBK_num1,16.708571428571428,61538.51900000003,977.4505158770088
TRE6PP,9.856923076923078,28104.447800000016,1262.6087987725225
TRE6PS,147.36857142857144,53397.9074000001,9935.349210760574
UDPG4E,4496.622911923077,70526.10140000012,229529.8075688478
UDPGPpp_num1,349.05,33450.03510000001,37565.87986360587
XYLI1,4.944916666666667,37328.38340000004,476.8944802468992
XYLI2,4.944916666666667,37328.38340000004,476.8944802468992
XYLK,765.177,49820.40310000008,55291.34709068613
GALKr,30.78983,46333.44050000015,2392.2978048651416
M1PD,67.8875,55368.50720000014,4413.971269212752
MAN2D,38.034214285714285,55368.50720000014,2472.943164856919
ICL,7.475,188911.3772000004,142.44774665694376
MALS,140.03,13854.526899999975,36385.79676076856
ME1_num1,90.28821428571428,37729.45650000009,8614.955039932012
ME2,177.70632352941178,40932.37550000005,15629.260625391302
PPA,816.96656,107429.12339999995,27376.93023007578
PPA2,816.96656,107429.12339999995,27376.93023007578
PPC,0.055,103196.3252000008,1.9186729722813665
PPCK,337.43333333333334,36048.41530000002,33698.01390409523
ABTA,23.7028325,46507.41600000007,1834.7653845141567
ACGK,38.25,31089.38160000002,4429.164972519104
ACGS,2.1999998,79428.0,99.712938510349
ACODA,1314.0,47771.77660000007,99020.8097054526
ACOTA,1.185,82411.52100000004,51.764607038377534
AMPTASEPG_num1,239.1273170731708,96093.53880000084,8958.545519435145
ARGSL,401.496,51040.99500000012,28318.131337369043
CBPS,3.3582539523809523,324339.39620000165,37.27488664718482
OCBT,1190.9444444444443,34328.29050000001,124894.07242693887
P5CD,6.331666666666667,126320.44770000072,180.44584558577264
P5CR,995.5918027272728,28241.8486,126908.49457418952
PROD2,14.677777777777775,126320.44770000072,418.3012407103722
SPMDAT1,1.9095,34481.182600000044,199.3609117107252
SPMDAT2_num1,1.9095,19208.73609999999,357.86841800590946
SPMS,89.61916666666667,110938.4514000002,2908.1801298697364
SSALy_num1,4.7780000000000005,51774.1473000001,332.2275864889033
UREAAH,3186.4445,90263.75640000011,127085.34031273692
3HAD100,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD120,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD121,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD140,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD141,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD160,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD161,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD180,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD181,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD40,7398.772633184972,17178.201499999996,1550545.4095101808
3HAD60,9.28053181818182,17178.201499999996,1944.9017724850048
3HAD80,9.28053181818182,17178.201499999996,1944.9017724850048
3OAR100,117.26209523809524,49743.12779999994,8486.469619571117
3OAR120,117.26209523809524,49743.12779999994,8486.469619571117
3OAR140,117.26209523809524,49743.12779999994,8486.469619571117
3OAR160,117.26209523809524,49743.12779999994,8486.469619571117
3OAR180,117.26209523809524,49743.12779999994,8486.469619571117
3OAR40,117.26209523809524,49743.12779999994,8486.469619571117
3OAR60,117.26209523809524,49743.12779999994,8486.469619571117
3OAR80,117.26209523809524,49743.12779999994,8486.469619571117
3OAS100_num1,0.1708571428571428,14750.437999999996,41.69948812948567
3OAS120_num1,0.1708571428571428,14750.437999999996,41.69948812948567
3OAS121_num1,23.18986701965332,14750.437999999996,5659.731681916969
3OAS140_num1,0.1708571428571428,14750.437999999996,41.69948812948567
3OAS141_num1,23.18986701965332,14750.437999999996,5659.731681916969
3OAS160_num1,23.18986701965332,14750.437999999996,5659.731681916969
3OAS161_num1,23.18986701965332,14750.437999999996,5659.731681916969
3OAS180_num1,23.18986701965332,14750.437999999996,5659.731681916969
3OAS181_num1,23.18986701965332,14750.437999999996,5659.731681916969
3OAS60_num1,0.1708571428571428,14750.437999999996,41.69948812948567
3OAS80_num1,23.18986701965332,14750.437999999996,5659.731681916969
AACPS1_num1,8.945131301879883,14750.437999999996,2183.153658675599
AACPS2_num1,8.945131301879883,14750.437999999996,2183.153658675599
AACPS3_num1,6.0745930671691895,14750.437999999996,1482.568520460822
AACPS4_num1,8.945131301879883,14750.437999999996,2183.153658675599
AACPS5_num1,5.555612087249756,14750.437999999996,1355.9057374499066
AACPS6_num1,5.896424770355225,14750.437999999996,1439.0846680809625
AACPS7_num1,8.945131301879883,14750.437999999996,2183.153658675599
