,kcat,MW,kcat_MW
ALAR,990461.25,78.34644680000011,12642.069812411692
ALATA_L,190182.75,46.74885590000004,4068.1797733578296
ASNN,972991.962,33.29822399999999,29220.536266438725
ASNS1,7336.000000000001,72.38769100000027,101.34319659401724
ASPT,474852.85714285716,57.56795390000005,8248.562350638917
ASPTA,581166.0,94.59000520000012,6144.0529448242305
DAAD,918455.2714285714,44.705468000000025,20544.58464518414
2METS,65885.53846153847,85.18959560000009,773.398887475625
ACNML,89111.99999999999,32.724746600000024,2723.076853404876
ADNUC_num1,52186.15384615386,47.76933190000007,1092.4614552993944
AGDC,474070.16250000003,40.505196100000084,11703.934510762658
ALCD19_num1,1054400.0,37.284043600000054,28280.19437247945
ALDD19x,112496.57142857143,55.10555960000007,2041.4740771196396
ALDD2x,7992.000000000001,51.083937600000134,156.44839406428176
AMALT1,4210817.04,78.52343850000044,53624.97007820126
AMALT2,4210817.04,78.52343850000044,53624.97007820126
AMALT3,4210817.04,78.52343850000044,53624.97007820126
AMALT4,4210817.04,78.52343850000044,53624.97007820126
ARAI_num1,324911.36842105264,7.4586584,43561.63682480118
BETALDHx,19387.205886840824,52.322491300000124,370.53292771708635
BETALDHy,16841.63589477539,52.322491300000124,321.8813836331098
DHACOAH,18731.128120422363,36.52961010000005,512.7656186076384
DHAPT,23767.93041229248,39.24035870000007,605.7011505425519
DHPTDNRN,32889.241790771484,42.00995970000003,782.8915339514467
DRPA,387265.32,22.519556799999975,17196.84465548631
FFSD_num1,1159457497.0434783,47.78283940000006,24265144.38243025
G3PT,8217.772579193115,25.277483199999985,325.1024840634894
G6PDA,807531.4285714285,27.27735800000001,29604.45907449791
GLCRD,78345.81818181818,69.60155850000031,1125.633101761907
GLYCDx,72197.06039428712,27.063406599999993,2667.700391948704
GLYK,11826000.0,56.14453370000014,210634.9313219066
GNK_num1,33840.0,18.46966759999999,1832.19323340719
GUI1,244319.99999999997,57.45380120000014,4252.460148798638
HCO3E,10468489090.909088,22.22803730000002,470958769.3065945
HXCT,1044000.0,78.9083846000001,13230.533172009691
MALGT,378072.0,69.44990270000021,5443.808922715724
MAN1PG,376170.0,37.03346390000001,10157.56994851351
MAN6PI,82530551.99999999,42.83365220000009,1926768.9716171299
MCITL2_num1,227580.0,133.65783880000004,1702.7059695356972
MM_COA_ADD5,13824.0,57.99613550000006,238.360709395887
MMM2,483692.72727272724,145.54092390000085,3323.4138846408987
MSDH_num1,6771.272727272727,53.64312570000007,126.22815391372167
PFK_2,304632.0,74.92625080000008,4065.7579519513297
PGLYCP_num1,81862.0,24.766549900000005,3305.345327893248
PGMT,511690.49999999994,59.206429000000156,8642.482052075773
PMANM_num1,89293.84615384616,62.57915660000019,1426.8943687529002
RBK_num1,60150.857142857145,61.53851900000003,977.4505158770089
TRE6PP,35484.92307692308,28.104447800000017,1262.6087987725223
TRE6PS,530526.8571428572,53.3979074000001,9935.349210760573
UDPG4E,16187842.482923076,70.52610140000012,229529.8075688478
UDPGPpp_num1,1256580.0,33.45003510000001,37565.87986360587
XYLI1,17801.7,37.32838340000004,476.8944802468992
XYLI2,17801.7,37.32838340000004,476.8944802468992
XYLK,2754637.2,49.820403100000085,55291.34709068613
GALKr,110843.38799999999,46.33344050000015,2392.297804865141
M1PD,244395.0,55.36850720000014,4413.971269212752
MAN2D,136923.17142857143,55.36850720000014,2472.9431648569184
ICL,26910.0,188.9113772000004,142.44774665694376
MALS,504108.0,13.854526899999975,36385.796760768564
ME1_num1,325037.57142857136,37.72945650000009,8614.95503993201
ME2,639742.7647058824,40.932375500000056,15629.2606253913
PPA,2941079.616,107.42912339999995,27376.930230075777
PPA2,2941079.616,107.42912339999995,27376.930230075777
PPC,198.0,103.19632520000081,1.918672972281366
PPCK,1214760.0,36.04841530000002,33698.01390409523
ABTA,85330.197,46.50741600000007,1834.7653845141574
ACGK,137700.0,31.089381600000017,4429.164972519104
ACGS,7919.99928,79.428,99.712938510349
ACODA,4730400.0,47.771776600000074,99020.80970545259
ACOTA,4266.0,82.41152100000004,51.764607038377534
AMPTASEPG_num1,860858.3414634148,96.09353880000084,8958.545519435145
ARGSL,1445385.5999999999,51.040995000000116,28318.131337369043
CBPS,12089.714228571429,324.33939620000166,37.27488664718482
OCBT,4287400.0,34.32829050000001,124894.07242693892
P5CD,22794.0,126.32044770000071,180.44584558577267
P5CR,3584130.4898181823,28.2418486,126908.49457418954
PROD2,52839.99999999999,126.32044770000071,418.30124071037227
SPMDAT1,6874.2,34.48118260000005,199.3609117107251
SPMDAT2_num1,6874.2,19.208736099999992,357.86841800590946
SPMS,322629.0,110.93845140000019,2908.1801298697364
SSALy_num1,17200.800000000003,51.7741473000001,332.2275864889033
UREAAH,11471200.200000001,90.26375640000012,127085.34031273692
3HAD100,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD120,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD121,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD140,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD141,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD160,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD161,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD180,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD181,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD40,26635581.479465898,17.178201499999997,1550545.4095101808
3HAD60,33409.91454545456,17.178201499999997,1944.9017724850046
3HAD80,33409.91454545456,17.178201499999997,1944.9017724850046
3OAR100,422143.54285714286,49.74312779999994,8486.469619571115
3OAR120,422143.54285714286,49.74312779999994,8486.469619571115
3OAR140,422143.54285714286,49.74312779999994,8486.469619571115
3OAR160,422143.54285714286,49.74312779999994,8486.469619571115
3OAR180,422143.54285714286,49.74312779999994,8486.469619571115
3OAR40,422143.54285714286,49.74312779999994,8486.469619571115
3OAR60,422143.54285714286,49.74312779999994,8486.469619571115
3OAR80,422143.54285714286,49.74312779999994,8486.469619571115
3OAS100_num1,615.0857142857141,14.750437999999997,41.69948812948566
3OAS120_num1,615.0857142857141,14.750437999999997,41.69948812948566
3OAS121_num1,83483.52127075195,14.750437999999997,5659.731681916969
3OAS140_num1,615.0857142857141,14.750437999999997,41.69948812948566
3OAS141_num1,83483.52127075195,14.750437999999997,5659.731681916969
3OAS160_num1,83483.52127075195,14.750437999999997,5659.731681916969
3OAS161_num1,83483.52127075195,14.750437999999997,5659.731681916969
3OAS180_num1,83483.52127075195,14.750437999999997,5659.731681916969
3OAS181_num1,83483.52127075195,14.750437999999997,5659.731681916969
3OAS60_num1,615.0857142857141,14.750437999999997,41.69948812948566
3OAS80_num1,83483.52127075195,14.750437999999997,5659.731681916969
AACPS1_num1,32202.472686767578,14.750437999999997,2183.1536586755988
AACPS2_num1,32202.472686767578,14.750437999999997,2183.1536586755988
AACPS3_num1,21868.535041809082,14.750437999999997,1482.568520460822
AACPS4_num1,32202.472686767578,14.750437999999997,2183.1536586755988
AACPS5_num1,20000.20351409912,14.750437999999997,1355.9057374499066
AACPS6_num1,21227.12917327881,14.750437999999997,1439.0846680809623
AACPS7_num1,32202.472686767578,14.750437999999997,2183.1536586755988
AACPS8_num1,57.6,14.750437999999997,3.904968788045481
AACPS9_num1,57.6,14.750437999999997,3.904968788045481
ALAALAr,5577.63527076923,38.55913410000003,144.65146588364976
EAR100x,55938.647999999994,27.8669134,2007.3499779850033
EAR100y,97067.99999999999,27.8669134,3483.2705942955267
EAR120x,55938.647999999994,27.8669134,2007.3499779850033
EAR120y,97067.99999999999,27.8669134,3483.2705942955267
EAR121x,55938.647999999994,27.8669134,2007.3499779850033
EAR121y,97067.99999999999,27.8669134,3483.2705942955267
EAR140x,55938.647999999994,27.8669134,2007.3499779850033
EAR140y,97067.99999999999,27.8669134,3483.2705942955267
EAR141x,55938.647999999994,27.8669134,2007.3499779850033
EAR141y,97067.99999999999,27.8669134,3483.2705942955267
EAR160x,55938.647999999994,27.8669134,2007.3499779850033
EAR160y,97067.99999999999,27.8669134,3483.2705942955267
EAR161x,55938.647999999994,27.8669134,2007.3499779850033
EAR161y,97067.99999999999,27.8669134,3483.2705942955267
EAR180x,55938.647999999994,27.8669134,2007.3499779850033
EAR180y,97067.99999999999,27.8669134,3483.2705942955267
EAR181x,55938.647999999994,27.8669134,2007.3499779850033
EAR181y,97067.99999999999,27.8669134,3483.2705942955267
EAR40x,55938.647999999994,27.8669134,2007.3499779850033
EAR40y,97067.99999999999,27.8669134,3483.2705942955267
EAR60x,55938.647999999994,27.8669134,2007.3499779850033
EAR60y,97067.99999999999,27.8669134,3483.2705942955267
EAR80x,55938.647999999994,27.8669134,2007.3499779850033
EAR80y,97067.99999999999,27.8669134,3483.2705942955267
FA100ACPHi_num1,11818.055172413793,36.46807160000002,324.0658102802942
FA120ACPHi_num1,11818.055172413793,36.46807160000002,324.0658102802942
FA140ACPHi_num1,11818.055172413793,36.46807160000002,324.0658102802942
FA141ACPHi_num1,11818.055172413793,36.46807160000002,324.0658102802942
FA160ACPHi_num1,11818.055172413793,36.46807160000002,324.0658102802942
FA161ACPHi_num1,11818.055172413793,36.46807160000002,324.0658102802942
FA80ACPHi_num1,11818.055172413793,36.46807160000002,324.0658102802942
FACOAL100t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL120t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL140t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL141t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL160t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL161t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL180t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL181t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL60t2pp_num1,9248.4,129.74641610000037,71.28058159904714
FACOAL80t2pp_num1,9248.4,129.74641610000037,71.28058159904714
G1PACT,66229.2,151.37002440000018,437.53180500907627
GF6PTA,43918.5015,134.42889140000028,326.7043344820733
GLUR,13880517.818181818,29.2300265,474871.88621542364
INPTH,7337.303999999999,39.22289170000002,187.06688064001145
MI1PP_num1,390555.5294117647,28.83226290000001,13545.781361884174
PGAMT,5639.04,46.35325000000006,121.6536057342256
TDPGDH_num1,285220.80000000005,33.5360838,8504.892870049425
UAAGDS,13350.857142857143,53.861698800000156,247.87293086376073
UAGCVT_num1,2158.8749999999995,46.93631080000005,45.995839110559096
UAGDP,66229.2,151.37002440000018,437.53180500907627
UAGPT3,7916.0,36.696426000000045,215.71583020101167
UAMAGS,338929.09134545457,16.415401399999993,20647.018192650146
UAMAS,166209.67741935485,51.18032250000009,3247.5308732053136
UAMDH_num1,108747.69230769231,36.37071590000004,2989.979427589221
UDCPDP,295360.0,31.57807800000001,9353.32416368089
UDPGALM,70155.79578947366,46.180797100000085,1519.1551509506867
UDPGD_num1,31994.928,42.94018960000002,745.1044883136703
UGMDDS,1830600.0,53.2653453000002,34367.56092896282
3OAR121,422143.54285714286,49.74312779999994,8486.469619571115
3OAR141,422143.54285714286,49.74312779999994,8486.469619571115
3OAR161,422143.54285714286,49.74312779999994,8486.469619571115
3OAR181,422143.54285714286,49.74312779999994,8486.469619571115
G1PTT,21892.513846153844,30.834505299999982,710.0004891647753
GALUi_num1,376421.53846153844,32.988408699999994,11410.721319865863
PAPPT3,734587.2,39.26777380000004,18707.126198226168
ACONTa,730008.0,101.72464050000073,7176.314375866433
ACONTb,730008.0,101.72464050000073,7176.314375866433
AKGDH,1810260.0,2277.980928600012,794.6774168616676
CS_num1,373337.1600171428,85.1332134000001,4385.329122524845
FUM,1347600.0,200.9732628000004,6705.36956620479
ICDHyr,59731.2,80.0802833000005,745.8914671446926
MDH,1179163.6363636365,139.63061200000004,8444.879095449614
PYRC,20833.02,123.10183720000069,169.23402992071578
SUCOAS,271804.32,144.04654660000017,1886.9200714319636
ACBIPGT,7890.599999999999,18.7442308,420.96152593255516
ACPS1_num1,1386.6656470588234,14.750437999999997,94.00843873645132
ADCS,1073.20212,67.26227480000027,15.955483563276626
ADOCBIK,795.6,18.7442308,42.44505994879235
ADOCBLS,12675.92231336474,32.43579490000005,390.80042133836287
ALATA_D2,125371.30382608695,93.08048380000018,1346.912894173061
ALATA_L2,125371.30382608695,93.08048380000018,1346.912894173061
AMAOTr,212307.45881717646,91.4802828000001,2320.8002021740167
AMPMS2,3596400.0,64.81946120000029,55483.33684698977
ASP1DC,9879.42857142857,56.588,174.5852225105777
BMOCOS_num1,9242.794418334961,42.62568860000004,216.8362487951679
BTS4,729288.406584,73.71169960000002,9893.794479594388
BWCOS_num1,9242.794418334961,42.62568860000004,216.8362487951679
CPPPGO2,810072.0,35.703507,22688.86358978685
DBTS,62516.737500749994,47.70991639999998,1310.3510175245249
DHFR,201060.0,16.986049699999988,11836.772148382453
DHNCOAT,32269.88410949707,31.83071360000004,1013.7970676691657
DHPPDA2_num1,22200.001200000002,34.36527940000004,646.0008935646825
DHPS2_num1,277279.97538461536,29.77236410000002,9313.334152883586
DHPTPE,26635581.479465898,14.020717199999979,1899730.3133299015
DMATT_num1,2430.0,43.02341430000007,56.48087302080988
DMPPS,9504.0,35.602006000000046,266.9512498818181
DPCOAK,25492.440000000002,21.662302800000017,1176.8111744795656
DPR,60634.28571428571,31.615694099999967,1917.85401017926
DXPRIi,15912.8676,40.95719590000011,388.52434231221275
DXPS,177661.14545454545,135.75898020000045,1308.6511492117475
FCLT,287.64,73.56884670000002,3.9098071113299087
FMNAT,164.170494,37.16853070000005,4.416921812838832
G1SAT,1836.0,92.03286340000027,19.94939559818145
GDPDPK,26635581.479465898,23.932243,1112958.0072986013
GDPTPDP,9489.0,21.379115600000002,443.84436557328866
GLUCYS,5225466.6,42.438338100000045,123130.8018633273
GLUTRR,719683.2000000001,65.75850510000018,10944.33638516515
GLYOD,106183.53,102.43833590000077,1036.5604738411141
GRTT_num1,28417.54294285714,43.02341430000007,660.5134298431794
GTHOr,841320.0,50.150212800000084,16776.000599542793
GTHRDHpp,420080.7857142857,67.92003870000028,6184.931483472255
GTPCI,25957.341,214.713542,120.89289179533912
GTPDPDP_num1,14015.7,34.76286860000004,403.1801909466121
GTPDPK,54438.0,84.4462371000004,644.6468412267448
HMBS,900.0,32.00899880000002,28.117093121950425
HPPK2,1798506.0,18.044162,99672.4591588127
ICHORS,36871.49999999999,40.37212800000005,913.2909714345487
IPDDI,7745920.457142857,21.120492299999988,366749.04860730266
IPDPS,9504.0,35.602006000000046,266.9512498818181
LIPAMPL,26635581.479465898,29.351711000000027,907462.6511369601
LIPATPT,21095.379066467285,29.351711000000027,718.7103697793722
LIPOCT,720.0,27.3226731,26.35174081850725
MECDPS,8399.999999999998,49.744739999999965,168.86207466357254
MEPCT,351221.53846153844,27.52435339999998,12760.391982960758
MOCOS_num1,53453.67681845177,42.62568860000004,1254.024945381216
MOHMT,2811.6,283.2384249999999,9.926619243134123
MPTAT,12439.748096466066,17.06938559999998,728.7753869984683
MPTS,57206.016540527344,16.09600129999998,3554.051436397897
MPTSS,35112.174224853516,37.392179400000025,939.0245443905175
NADDP_num1,393316.6723714286,26.147170599999992,15042.418102837815
NADK,28484.30769230769,31.15495240000001,914.2786458665134
NADPPPS_num1,26635581.479465898,35.17190080000004,757297.1853561542
NADS1,1139.9999999999998,60.85145620000001,18.734144935713136
NNAM,56307.34285714285,20.12215760000001,2798.275611216902
NNDMBRT,136526.4,37.44324290000005,3646.2226406142777
NNDPR,1443067.2,29.375974800000012,49124.06174858236
NPHS,490.725,35.53920750000002,13.80798938749548
OCTDPS,13649.206352233887,37.822209600000015,360.87807921813965
OCTNLL,19293.102836608887,29.351711000000027,657.3076042009568
OHPBAT,3856.5,40.04563320000005,96.30263506483887
OMBZLM,4016.1191940307617,25.244426200000003,159.0893436124431
PANTS_num1,8018.0,59.775674799999976,134.13483037752346
PMPK,272.0399999999998,80.35445890000054,3.3854997435618097
PNTK,1397.4545454545455,35.31515200000003,39.57096221629017
PPBNGS,916065.0,294.3444992000002,3112.2205527528995
PPCDC,6719.99994,43.85528370000007,153.23124998961046
PPGPPDP,54438.0,84.4462371000004,644.6468412267448
PPNCL2,6545.999988,43.85528370000007,149.26365618289202
PPPGO,5185.551898908,45.69900150000011,113.47188622727322
PPPGO3,5185.551898908,45.69900150000011,113.47188622727322
PTPATi,37723.5668,105.44885039999997,357.7427981139945
PY5PSH,59.169599999999996,655.0156032000004,0.0903331152890618
PYDAMK,3032.3076923076924,56.07191830000001,54.07890053063678
PYDXK,3032.3076923076924,56.07191830000001,54.07890053063678
PYDXNK,3032.3076923076924,56.07191830000001,54.07890053063678
RBFSa,167.47999999999993,16.47538749999999,10.165466517858839
RBFSb,2112.7980000000002,22.56106,93.6479934896676
RZ5PP,54805.47637939453,28.627732000000012,1914.4190807499003
SEPHCHCS,9377.707386016846,114.5718832000002,81.84998905575141
SUCBZL,212735.99999999997,46.379322600000016,4586.871650428114
TDPDSH,443516.39999999997,49.15216180000011,9023.334554534262
TMPK,226.8,34.84884630000004,6.50810641039786
TMPPP_num1,3596400.0,80.35445890000054,44756.6948895225
UDCPDPS,6566.228624571428,56.4514984,116.31628585028716
UPP3MT_num1,136800.0,63.472304900000175,2155.2707155589624
UPP3S,1029909.6000000001,63.472304900000175,16226.125735036876
UPPDC1,1199329.2,76.82530900000009,15611.121069490246
WCOS_num1,25121.56759577594,42.62568860000004,589.3527687380496
RBFK,7219.499999999998,37.16853070000005,194.2368951377459
AMPTASECG_num1,860858.3414634148,96.09353880000084,8958.545519435145
BPNT,36949.09090909091,27.281362700000006,1354.3711622986818
CYSS,856800.0,32.51735750000002,26349.004527812554
MCPST_num1,1722768.5454545454,33.49381449999999,51435.423858770875
PAPSR,2199.2000000000003,25.3613372,86.71467054978474
PAPSR2,2199.2000000000003,25.3613372,86.71467054978474
SADT2,68538.9,81.21804550000013,843.8875816089404
SERAT,3695703.984,19.492143799999994,189599.66753374768
SULRi,122216400.0,113.12135840000009,1080400.7459655816
5FTHFC,266837.99991428567,20.57729639999999,12967.592764727138
FOMETRi,24990.653800964355,20.57729639999999,1214.477029206051
MTHFC,8035110.0,60.298613,133255.30389894705
MTHFD,341824.32,60.298613,5668.858751361328
MTHFR2,373484.21115789475,36.226586900000015,10309.671518016912
TMDS2,1516.4639280000001,112.25753920000005,13.50879360804659
GLNS_num1,457898.4,53.299847800000045,8590.98888458739
GLUDy,4871280.0,293.92599600000045,16573.151290775902
GLUN,1563734.60001,178.98973720000038,8736.448382304216
GLUSy,84960.0,219.0394420000002,387.87534895199343
ACPPAT120,13834.329590525183,10.366238399999984,1334.5563797302987
ACPPAT140,14033.913007367477,10.366238399999984,1353.809594748226
ACPPAT141,15133.215024220111,10.366238399999984,1459.855970919995
ACPPAT160,20385.386041361995,10.366238399999984,1966.5171930988995
ACPPAT161,28090.315966394992,10.366238399999984,2709.7887278373837
