	reaction	equ	g0
ALATA_D2_num1	ALATA_D2_num1	ala__D_c + pydx5p_c --> pyam5p_c + pyr_c	0.9
SHCHD2	SHCHD2	dscl_c + nad_c --> h_c + nadh_c + scl_c	-0.0
CPPPGO	CPPPGO	cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c	-353
GTHOr	GTHOr	gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c	-12.2
DHORD5	DHORD5	dhor__S_c + mqn8_c --> mql8_c + orot_c	-18
GLYCTO2	GLYCTO2	glyclt_c + q8_c --> glx_c + q8h2_c	-91
GLYCTO3	GLYCTO3	glyclt_c + mqn8_c --> glx_c + mql8_c	17
GLYCTO4	GLYCTO4	2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c	-5
PFK_3	PFK_3	atp_c + s7p_c --> adp_c + h_c + s17bp_c	-16.1
TRPS2	TRPS2	indole_c + ser__L_c --> h2o_c + trp__L_c	-50.6
G3PD5_num1	G3PD5_num1	glyc3p_c + q8_c --> dhap_c + q8h2_c	-109
LEUTAi_num1	LEUTAi_num1	4mop_c + glu__L_c --> akg_c + leu__L_c	-0.0
SHK3Dr_num1	SHK3Dr_num1	3dhsk_c + h_c + nadph_c --> nadp_c + skm_c	-5.7
G5SD	G5SD	glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c	-7.1
ALATA_L2_num1	ALATA_L2_num1	ala__L_c + pydx5p_c --> pyam5p_c + pyr_c	0.9
MAN6PI	MAN6PI	man6p_c --> f6p_c	-1.4
APRAUR	APRAUR	5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c	-24.4
DB4PS	DB4PS	ru5p__D_c --> db4p_c + for_c + h_c	-89.6
RBFK	RBFK	atp_c + ribflv_c --> adp_c + fmn_c + h_c	-16.5
ACP1_FMN_num1	ACP1_FMN_num1	fmn_c + h2o_c --> pi_c + ribflv_c	-14.1
RBFSb	RBFSb	2.0 dmlz_c --> 4r5au_c + ribflv_c	-95
DMATT	DMATT	dmpp_c + ipdp_c --> grdp_c + ppi_c	-82.3
GRTT	GRTT	grdp_c + ipdp_c --> frdp_c + ppi_c	-83.9
UPP3S	UPP3S	hmbil_c --> h2o_c + uppg3_c	-0
UPPDC1	UPPDC1	4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c	-24
TMDPP	TMDPP	pi_c + thymd_c --> 2dr1p_c + thym_c	8
HCO3E_num1	HCO3E_num1	co2_c + h2o_c --> h_c + hco3_c	-9.5
IMPC	IMPC	h2o_c + imp_c --> fprica_c	20
IMPD	IMPD	h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c	15
ECOAH4_num1	ECOAH4_num1	3hdcoa_c --> dc2coa_c + h2o_c	-0.4
GLUTRS	GLUTRS	atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c	-0.0
TMPPP	TMPPP	2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c	-25.6
URIK1	URIK1	atp_c + uri_c --> adp_c + h_c + ump_c	-22
URIK2	URIK2	gtp_c + uri_c --> gdp_c + h_c + ump_c	-20
CYTDK1	CYTDK1	atp_c + cytd_c --> adp_c + cmp_c + h_c	-16.5
CYTDK2	CYTDK2	cytd_c + gtp_c --> cmp_c + gdp_c + h_c	-14.3
XPPT	XPPT	prpp_c + xan_c --> ppi_c + xmp_c	-29.8
HXPRT_num1	HXPRT_num1	hxan_c + prpp_c --> imp_c + ppi_c	-32.1
NDPK5_num1	NDPK5_num1	atp_c + dgdp_c --> adp_c + dgtp_c	1.7
DHORTS	DHORTS	dhor__S_c + h2o_c --> cbasp_c + h_c	-8.4
OMPDC	OMPDC	h_c + orot5p_c --> co2_c + ump_c	-22
CS	CS	accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c	-40.0
ICDHyr	ICDHyr	icit_c + nadp_c --> akg_c + co2_c + nadph_c	5.4
ACALD_num1	ACALD_num1	acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c	-22.3
ACS	ACS	ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c	-10.2
PPA_num1	PPA_num1	h2o_c + ppi_c --> h_c + 2.0 pi_c	-15.74
PPCK	PPCK	atp_c + oaa_c --> adp_c + co2_c + pep_c	11.2
ME1	ME1	mal__L_c + nad_c --> co2_c + nadh_c + pyr_c	12.1
ALAR_num1	ALAR_num1	ala__L_c --> ala__D_c	-0.0
ALATA_L_num1	ALATA_L_num1	akg_c + ala__L_c --> glu__L_c + pyr_c	-0.2
XYLK_num1	XYLK_num1	atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c	-25.5
RBK	RBK	atp_c + rib__D_c --> adp_c + h_c + r5p_c	-30.1
GLYK	GLYK	atp_c + glyc_c --> adp_c + glyc3p_c + h_c	-17.4
PPM	PPM	r1p_c --> r5p_c	-13.8
ASPTA_num1	ASPTA_num1	akg_c + asp__L_c --> glu__L_c + oaa_c	2.8
FBP_num1	FBP_num1	fdp_c + h2o_c --> f6p_c + pi_c	-11.7
GLGC	GLGC	atp_c + g1p_c + h_c --> adpglc_c + ppi_c	-8.7
PYK_num1	PYK_num1	adp_c + h_c + pep_c --> atp_c + pyr_c	-24.5
A5PISO_num1	A5PISO_num1	ru5p__D_c --> ara5p_c	-2.4
IPPMIb	IPPMIb	2ippm_c + h2o_c --> 3c3hmp_c	-0.4
