,kcat_1/s,MW_g/mmol,kcat/MW
FBA_reverse_num1,7.199942400460794,78.2945,438.42585523121033
ASPK_reverse_num1,204119.12392072013,177.7754,741.7666415038301
UAPGR,72233.4585379948,37.851,4089.7202187524767
ASPTA_reverse_num2,2412021.5152319157,87.0756,868.2110717583342
FA120ACPHi,755.9721802237677,22.9611,770.1781217450384
FA141ACPHi,755.9721802237677,22.961099999999995,20361.156559572497
HEX7,32028697.713150986,32.4998,970.1893098172912
E4PP_num2,69204.15224913495,23.0075,1024.3379298750408
FBP_num2,93597.90340696368,147.3357,1862.374541730212
3NTD9pp_num2,1360803.4183381868,98.8772,399.1777682620462
2DDARAA_num1,1875609.5731112612,32.72169999999999,868.6046236350802
AMPTASEPG_num3,1274404.85293368,98.91889999999998,299.35805591853534
CURR,34199.72640218878,75.21949999999998,132.53079216426593
AMALT1,666000.666000666,78.5035,729.623898959919
MLTGY1pp_num5,3121196.042323418,73.35320000000002,431.8497333286073
PTAr_num2,432002.76481769484,72.1335,7594.554046039635
ICHORS_copy2_reverse,6480.041472265422,97.52910000000001,114.25801637049864
AMALT4,1094403.2219230854,78.50349999999999,407.99364248473
EGMEACPR,42839.39510774108,111.45580000000939,0.0009689939868539
MLTGY2pp_num3,3121196.042323418,40.4106,1785.5555926415343
3OAS100_num2,169.19901187777063,86.0915,108.02540659182382
PAPA140pp,1044004.802422091,29.0213,327.0859064342397
MLTG2,1897209.2052590637,69.04100000000001,645.6642835416636
MCTP2App_num1,9720.062208398132,228.37020000000004,550.8441788989982
MDDEP2pp_num3,45000.450004500046,60.273299999999985,3226.451882873512
PLIPA2E140pp,302398.0162690133,66.32630000000002,145.52515796599536
SUCBZS,288001.84321179654,35.4766,719.8544001398105
NTD3_num2,2725166.916473634,26.900399999999998,418.5546704733016
AMMQLT8,7920.164739426581,28.073200000000007,905.0476659589928
AMPTASEPG_num2,3419972.640218878,277.0810000000001,106.87188799520716
ACGAMK,234000.23400023402,33.0427,659.5171821188945
ANHMK,25199707.683390874,39.4963,553.2921499786056
BSORy,5.695085141522866,85.8507,608.998938669108
CLPNS161pp_num1,4787.896198410418,54.8223,437.3810537755621
MDDCP2pp_num4,40680172.48393133,51.7983,511.5955292741268
DURIK1,19079.964129667438,23.4566,554.7356086900915
TMAOR2pp_num1,928763.8153617535,138.0625,135.64772193463105
TRPS3,2651746.1748561426,143.41429999999997,249.2074166802056
ORPT,1008.0035481724897,47.134,251.2817906055077
DSBDR_num1,12960.082944530845,77.3499,480.9436889769734
QULNS,2880.0184321179654,76.4816,21.652266688981403
NMNDA,14759.929742734425,35.1634,672.3138685906368
MOHMT,2818.8070808433868,282.3744000000001,0.127490310736384
THFAT,2303988.2035803976,90.6332,337.0379117277113
TPI,2627982.7604330913,53.9436,4805.018574956065
PGPP180pp_num2,1044004.802422091,29.0213,328.1377244851196
PGM_reverse_num1,11519941.017901989,57.112800000000014,4254.14828486784
HSTPT,11159966.966497779,78.7203,150.9140590165434
DXYLK,1799.985600115199,105.2365,358.70645789246123
PYROX,55800.457563752025,59.96820000000002,373.2143359580577
GLCRAL,98280.09828009827,164.30500000000004,150.72650007729524
METSOXR2_num1,24839.783397088777,48.0499,196.9241216901596
HYD1pp_num2,127200.56985855298,482.9335,10916.491705793862
HEPT4,251997.07683390877,41.729499999999994,1582.832346325741
PLIPA1G160pp,302398.0162690133,66.3263,140.6845117728563
PUNP6_num1,377643.50453172205,155.69949999999997,125.92592082569308
NO3R1bpp,626998.5579033168,189.23730000000003,922.9342076852712
GLYOX3,9395.84703561026,62.38089999999999,149.1025334293029
HYD2pp_num2,127200.56985855298,181.7482,39673.66090888383
ASPCT_num1,1501208.4728206205,309.28790000000004,112.49032941411544
MICITDr_reverse,11114.939590303326,186.99620000000002,228.2643180128794
IPPMIa,286738351.2544803,72.36930000000001,165.31793013335763
UDCPDPpp_num3,32400.20736132711,22.3986,995.7289075567224
PPAKr_reverse,432002.76481769484,43.384100000000004,229.0908145242151
2DGULRGy,1079995248.0209086,70.791,135.7669869898716
SUCOAS_reverse,723589.001447178,142.3403,258.5276385675736
HPYRI,49686972.07592169,58.7549,854.3305514263492
PGPP120pp_num1,86400.55296353897,19.418099999999992,2034.290469819396
FDH4pp_num1,3949135.1394044706,170.10610000000005,193.13826778698703
A5PISO_num1,918020.7472688882,140.7843,394.56933138141113
CYSDDS,259201.65889061688,70.30660000000002,393.2965578423647
GTHS,198000.198000198,142.2436,299.8339887910598
ADSL2r,197640.17629503726,206.17120000000003,261.9182504636923
LPLIPAL1A180pp,40680172.48393133,94.4886,98.42505925159224
NTPP5_num1,16524.00938563733,17.3058,1230.4873377942654
CCGS,46080.825768397764,25.5142,723.9722111765213
GTHOr_reverse,2639845.833003353,97.54500000000002,102.94014591419344
NDPK6_num1,1170001.17000117,23.585999999999995,417.85701460188255
PGPP160_num1,86400.55296353897,19.4181,489.7363966196487
GLUR_reverse,43775.17072316582,31.002000000000002,2438.552351461196
ACALD_num1,56519.527496750125,33.4425,10401.084912312175
O16AP2pp,251997.07683390877,81.19899999999998,157.77496987893943
2AGPGAT181,6383.657835939993,80.7,322.10865024535315
3HCINNMH,151199.00813450664,62.1857,224.0298764249659
PGAMT,28439.792958307266,47.543600000000005,757.945841206808
FMNRx_num1,122400.51897820047,42.5067,544.0931900147506
EAR60x,42839.39510774108,111.45580000000001,121.66678447240967
SDPTA_reverse_num5,8963.78630333453,79.5666,339.3383655956143
PPA_num3,1404001.4040014038,118.2214,2565.886313340901
DAGK180,82802.02036929701,39.734,234.06554257814463
3OAR100_reverse,2123.9990654404114,102.24120000000003,208.8226663888921
DADK_reverse,2818807.080843387,23.586,565.7498977868228
NADH9_num4,93597.90340696368,40.75109999999999,252.5926038119217
METNA_reverse,18828.136767585478,38.4954,703.6158977540175
NO3R1pp_num1,13680.077702841352,250.96299999999997,1599.7146570610012
CYANST_num3,40680.17248393133,30.8118,10767.687141549666
QMO2,93597903.40696369,23.0648,1066.5968566820436
DURADx,2340.00234000234,178.7966,214.04829979988432
EAR80y,42839.39510774108,111.4558,83.44140983959561
MDDCP5pp_num4,40680172.48393133,51.7983,2934.6695920908605
NADPHXD,6577216.521967903,54.65029999999999,198.038573738845
DASYN120,32112.00667929739,31.453799999999998,303.4448149094863
PAPSR_num1,1205.9962131718905,71.50640000000001,460.80252913865047
MDDCP2pp_num6,40680172.48393133,41.849,633.2237019761524
3OAS160_num2,169.19901187777063,86.09149999999998,108.02516916071856
NTPP9,3632401.017072285,42.07770000000001,5215.739600881227
3HPPPNH,151199.00813450664,62.1857,265.8920042389167
EAR141x,42839.39510774108,111.45580000000002,132.98816919352782
DHBD,333000.333000333,104.9986,138.95405018352625
PGPP141_num2,1044004.802422091,29.02129999999999,320.4564502348276
HYD1pp_num3,127200.56985855298,232.2686,22697.599017689005
GLYCTO2,16919.901187777064,137.2828,367.7479493133881
PGSA160,263998.52160827897,20.7006,510.024198602939
NADHXE_reverse,6577216.521967903,54.650299999999994,240.73398575305168
VPAMTr_reverse,68399.45280437756,46.7112,218.53000983918204
