reaction,kcat_1/h,MW_g/mmol,kcat/MW
ALATA_D2_num1,34504.02619315843,90.634,380.6962750530533
SHCHD2,22350.51494268445,49.951,447.4487986763919
CPPPGO,154449941.85000014,68.646,2249948.166681236
GTHOr,216000.0,97.546,2214.33990117483
DHORD5,32437.158438002483,36.775,882.0437372672327
GLYCTO2,37143.573021102326,191.095,194.37229137916913
GLYCTO3,37143.573021102326,191.095,194.37229137916913
GLYCTO4,36564.92655198611,191.095,191.3442348150716
PFK_3,74744.4,139.368,536.3096263130705
TRPS2,9022.5,143.414,62.91226797941624
G3PD5_num1,51078.88572727506,193.78,263.59214432487903
LEUTAi_num1,288.0,204.564,1.40787235290667
SHK3Dr,664493022.5606003,29.414,22591045.847575992
G5SD,38929.71371895797,89.26,436.13840151196473
ALATA_L2_num1,31670.727700726795,145.98,216.9525119929223
MAN6PI,2568394204.830003,42.85,59939187.97736295
APRAUR,1125.0,80.676,13.94466755912539
RBFK,7336.555024579434,34.734,211.22113849770926
ACP1_FMN_num1,28620.0,60.742,471.17315860524843
RBFSb,961.2,70.335,13.666026871401154
DMATT,4315.376044988277,64.32,67.09228925665853
GRTT,15407.483898367902,64.32,239.54421483780945
UPP3S,1800000.0,27.798,64752.85991797972
UPPDC1,413202.6952928358,78.496,5263.996831594423
TMDPP,476692258.91760105,94.414,5048957.346554548
HCO3E_num1,12724110000.0,50.194,253498625.33370522
IMPC,2349564.5434065894,114.658,20491.93726915339
IMPD,46800.0,208.088,224.90484794894468
ECOAH4_num1,4002840.000000001,154.144,25968.185592692553
GLUTRS,5403.4800000000005,53.816,100.40657053664339
TMPPP,528193.9700099995,23.015,22949.987834455766
URIK1,1168936492.8000004,97.412,11999922.933519488
URIK2,1168936492.8000004,97.412,11999922.933519488
CYTDK1,1168936492.8000004,97.412,11999922.933519488
CYTDK2,1168936492.8000004,97.412,11999922.933519488
XPPT,212595.5510988987,67.884,3131.7475561089313
HXPRT_num1,55275.7535424307,67.884,814.2677735906944
NDPK5_num1,3204000.0,23.586,135843.2968710252
DHORTS,1511921172.102003,77.654,19469971.567491736
OMPDC,90000.0,52.7,1707.7798861480076
CS,72569936.87447308,288.09,251900.22865935328
ICDHyr,266756.970287099,91.514,2914.930724119796
ACALD_num1,47339.81826417308,66.884,707.7898789571958
ACS,1202984.2994272553,72.094,16686.330338547665
PPA_num1,370525.8461538462,116.272,3186.716029257656
PPCK,125935.2,59.643,2111.483325788441
ME1,297720.0,252.788,1177.7457790717913
ALAR_num1,152416.80000000002,38.845,3923.717338138757
ALATA_L_num1,152415.7341325596,91.034,1674.272624871582
XYLK_num1,12339000.0,122.178,100991.99528556697
RBK,70849.25646366502,64.582,1097.0433938816548
GLYK,5129085668.152006,224.924,22803638.865358993
PPM,209645594.07750037,44.37,4724940.141480739
ASPTA_num1,976116.0,87.146,11200.927179675487
FBP_num1,68460.0,68.646,997.2904466392798
GLGC,1332000.0,194.792,6838.063164811697
PYK_num1,65902424.554493845,205.428,320805.462519685
A5PISO_num1,473850.0,140.784,3365.7944084555065
IPPMIb,3598851.9987487076,72.369,49729.193421889315
ACHBS_num1,139782.85714285716,71.547,1953.720731027956
ACLS_num1,161100.0,80.961,1989.8469633527254
PSCVT,88662.92580000001,46.096,1923.4407714335305
ANS,2405817.9342910754,228.728,10518.248462326761
ANPRT,15840.000000000002,113.74,139.26499032882015
CHORM_num1,530847524.8421053,86.222,6156752.625108503
CHORS,139014600.9120001,156.548,887999.852518078
IGPS,24120.0,49.492,487.3514911500849
ECOAH6_num1,4002840.000000001,154.144,25968.185592692553
ENO,1145012535.0840003,91.31,12539837.203855002
FBA_num1,44460.0,78.294,567.8596061000843
MGSA,506520.0,101.514,4989.656599089781
PPS,5287489751.305229,174.87,30236688.69048567
PGI,1569727942.3944042,123.06,12755793.453554397
PGK,5328000.0,41.118,129578.28688165767
EDA,38380753.054861,66.852,574115.2554128672
PGL,52315.019596622464,36.308,1440.8675662835315
RPE,7200.0,147.324,48.87187423637696
TALA_num1,72360.13209517837,70.438,1027.2882832445323
TKT1_num1,30812796.26892886,144.424,213349.55595281156
G6PDA,932554.2857142856,178.644,5220.182517824755
ALCD2x_num1,208379.65528391785,3845.08,54.193841294308015
ALDD2y_num1,44023.60665162426,58.82,748.4462198508035
RMI,539214.5454545454,188.796,2856.069754944731
FMNAT,13654.42757372573,34.734,393.1141697969059
NADDP_num1,7362.0,59.378,123.98531442621847
NMNAT_num1,20198.340329666687,189.384,106.6528340813727
HMPK1_num1,1287.0,28.634,44.94656701823008
NDPK6_num1,3204000.0,23.586,135843.2968710252
NDPK8_num1,3204000.0,23.586,135843.2968710252
PYNP2r,1151912503.4027998,162.954,7068942.790006994
DURIPP_num1,182208.0,94.414,1929.8832800220307
PTRCTA,30033.37093760889,99.322,302.3838720284417
CYSDS_num1,212954.61176470589,172.848,1232.0339938252446
TRPAS2,20160.0,211.092,95.5033824114604
NDP3_num1,2951897.04,17.433,169328.11564274653
CDPPH,2746.8,70.706,38.848188272565274
NDP7,148118.40000000002,70.706,2094.8490934291294
PMDPHT_num1,23351.20856779129,60.392,386.660626702068
ILETA,172800.0,204.564,844.7234117440019
VALTA,68400.0,204.564,334.3696838153341
ORPT,981506175.6528,47.134,20823740.307480797
RBFSa,495.5940000000001,193.884,2.5561366590332373
DHAD2,2784841965.5130363,131.064,21247954.934330072
G1PP_num1,421200.0,22.732,18528.94597923632
PFL_num1,42840.0,204.35,209.6403229752875
FRD2,36482.96583210911,228.418,159.72018769146527
FRD3,37250.62177693333,228.418,163.0809383539534
POX,99684.98883223998,248.044,401.88429807711526
PTAr_num1,187920.0,463.032,405.8466801430571
ACKr_num1,3501200.0000000005,84.868,41254.654286656936
MOAT,6124.999284974037,47.291,129.51722917624997
UDCPDPS,9000.0,56.888,158.20559696245255
USHD,17734.118649808974,26.894,659.4079962002296
LPADSS,16121.162602750868,42.382,380.377580169668
TDSK,2133196232.4360027,35.589,59939763.19750492
NTPP1_num1,90882.0,14.927,6088.430361090641
NTPP2_num1,896195.1430285715,14.927,60038.53038310254
NTPTP1,14400000.0,237.532,60623.4107404476
IPMD_num1,135846.0,79.034,1718.8298706885644
AIRC3,8301799.270480876,142.24,58364.7305292525
ADSL2r,130628445.48864006,206.172,633589.6508189281
PUNP5_num1,1166894.2032803893,29.835,39111.58717212634
PUNP6_num1,237996.56659685328,155.7,1528.5585523240418
PUNP7,182208.0,29.835,6107.18954248366
RNDR1_num1,29214.0,274.139,106.56637691098311
RNDR3_num1,29214.0,270.391,108.04353695204351
RNDR4_num1,29214.0,270.391,108.04353695204351
TMDS,3528.0,60.96,57.874015748031496
TMDK1,2036195532.0960011,93.828,21701363.474613134
PPCDC,2999.9998800000003,521.256,5.755329204843686
FTHFD,77251.25759449213,191.61,403.16923748495446
DHQTi,106308.0,54.934,1935.1949612261988
PUNP1,139626.0,155.7,896.7630057803469
PUNP2,182208.0,155.7,1170.2504816955684
PUNP3_num1,115036.22927155875,29.835,3855.7475874495976
LYSAM,298.8,77.5,3.855483870967742
DHAD1,2784841965.5130363,131.064,21247954.934330072
IPPMIa,1547979.4307675743,72.369,21390.0901044311
G3PD7,119880.0,193.78,618.6396944989162
NADH9_num1,29840.538827013526,40.34,739.7258013637462
NADH10_num1,26840.522358355494,40.34,665.3575200385595
MDH,7450420999.6799965,64.674,115199631.99554683
FUM_num1,2562984.0,120.21,21320.888445220866
PYDXNK,1080.0,61.694,17.50575420624372
PYAM5PO,53496.0,51.09,1047.0933646506164
OHPBAT,59221932.68191207,79.566,744312.0514027609
GLUTRR,515.9999999999999,92.614,5.571511866456474
GLCS1,1583068183.1640022,105.644,14984932.255158855
GLCP_num1,36707.87391686575,186.346,196.98772131876052
HEMEOS,12637.837368877495,32.248,391.89522974688344
ADMDC,911419811.4966006,30.385,29995715.369313825
AGMT,50444.69276660798,201.342,250.54232483340772
ARGDC,2256003873.613512,844.25,2672198.843486541
ARGSS,61830.98982702328,199.592,309.7869144405752
AGPR,12168.194316964282,71.904,169.228336628898
SPMS,504.00000000000006,64.642,7.796788465703414
G1SAT,1836.0,90.732,20.235418595423887
KDOCT2,1394650837.6710005,55.228,25252604.433819808
OAADC,784729099.7307764,66.852,11738304.01081159
MNNH,2916.0,179.352,16.25853071055801
GUI1,705600.0,107.974,6534.906551577232
PGAMT,7448.256,95.088,78.33013629480061
UAGDP,494003.0769230769,147.57,3347.5847185950865
UAGCVT,13608.0,44.818,303.62800660448926
GLUR,155988.0,31.002,5031.546351848268
UAG2E,13050.0,84.49,154.45614865664578
MACPD,627511.1322330825,85.226,7362.90723761625
DMQMT,2892.8281709003945,53.11,54.468615531922325
ICHORS_copy1,5875.2,42.932,136.84897046492125
HACD5_num1,8268200.1,159.188,51939.84534010101
HPPK2,3596400.0,18.079,198926.9317993252
PTPATi,100811533.44600002,107.022,941970.1878679151
HEX7,50400.0,130.0,387.6923076923077
DXPRIi,6954326.8,86.776,80141.131188347
OPHBDC,24043.3617014372,333.624,72.06724246887873
OHPHM,2974.336157684376,53.11,56.003316845874146
GHMT2r,292729.332,90.634,3229.796014740605
DHORD2,32437.158438002483,36.775,882.0437372672327
INSK,21948.34139453936,96.898,226.5097462748391
ABTA_num1,170640.0,183.1,931.9497542326598
SSALx,81360.0,99.436,818.2147310833099
ASPT,648000.0,209.424,3094.201237680495
SERD_L_num1,1176058.8,211.092,5571.309192200557
THRD_num1,486000.0,148.956,3262.7084508176913
KARA1,263027.41372325446,216.276,1216.1655187041301
KARA2,3532131945.6079164,216.276,16331594.56254007
ACCOAC,4480676.952806913,402.432,11133.997676146313
NADK,282000.0,195.396,1443.222993305902
ICHORS_copy2,5875.2,97.53,60.239926176561056
SUCBZS,68400.0,35.477,1928.0096964230347
DHBD,62421.70909090909,105.0,594.4924675324676
ICHORT,36000.0,65.108,552.9274436321189
RBK_L1,145512.0,122.178,1190.9836468103915
RBP4E_num1,64040.8,101.112,633.3649814067569
NTD2_num1,123120.0,25.301,4866.2108217066525
NTD4_num1,45600.0,26.9,1695.1672862453534
NTD5_num1,55008.0,45.416,1211.2031002289943
NTD6_num1,1080.0,45.416,23.78016558041219
LGTHL,1209913.9812399652,29.84,40546.71518900688
PYDXPP_num1,26962.972336780105,60.402,446.3920455743205
PDXPP,1810245212.7300005,60.402,29969954.848018285
HACD6_num1,8268200.1,159.188,51939.84534010101
ECOAH1_num1,3345869.9999999995,154.144,21706.131928586252
ECOAH2_num1,4002840.000000001,154.144,25968.185592692553
ECOAH3_num1,4002840.000000001,154.144,25968.185592692553
UGLT,1026000.0,79.292,12939.514705140493
DXPS,9360.0,135.234,69.21336350326101
CDPMEK,15705.67948423858,61.85,253.93176207338044
MECDPS,9720.0,50.694,191.73866729790507
DDGLK,2035679966.316004,67.924,29969965.937165122
XYLI2,2906099.4891371173,198.968,14605.86370238992
PMANM,64710.00000000001,50.463,1282.3256643481363
ICL,63527871.724216536,190.088,334202.43110673234
GLYCL,311649861.1200009,418.044,745495.3572351257
HCYSMT,1368.0,33.423,40.92989857283906
UDPG4E,1800000.0,74.53,24151.348450288475
LACZ,1509428.5714285714,465.932,3239.5898359171965
TRE6PH,94661.83531368102,63.838,1482.8446272389644
XYLI1,2906099.4891371173,198.968,14605.86370238992
PPC,1242000.0,396.252,3134.3690378849824
G3PT_num1,576000.0,60.826,9469.634695689343
CINNDO,53263.12460770104,249.792,213.22990571235684
DHPPD,25189.104153733577,114.0,220.9570539801191
DHCIND,25495.991884252675,114.0,223.64905161625154
GOFUCR,15675.990943914578,72.282,216.87267845265183
PYDXK_num1,7740.0,61.694,125.45790514474665
GTPCII2,385.2,43.672,8.82029675764792
SADT2,4374.0,87.746,49.848426139083266
LCARS,140431.56709325637,81.026,1733.166725412292
ALCD19_num1,1980.0,141.52,13.99095534200113
RMPA,137880.0,120.58,1143.473212804777
SBTPD,1203446345.7599998,111.432,10799827.210855048
PFK_2,111666.6,139.368,801.2355777509903
GLTPD,57420.88068951522,149.56,383.93207200799156
TGBPA_num1,8475.000597,219.56,38.59992984605575
MANAO,68279.64412352226,53.58,1274.349461058646
TAGURr,46059.61078767865,54.808,840.3811631090106
PGLYCP,338400.0,27.389,12355.325130526855
GLXCL,271870360.86000043,258.928,1049984.4005283338
GLCRAL,98280.0,164.304,598.1595092024539
KAS14_num1,5235.473911710016,85.226,61.43047792586788
EDTXS1,471600.0,35.407,13319.400118620613
EDTXS2,39186.35482897408,37.41,1047.4834223195423
EDTXS3,15761.88552108585,35.493,444.08434116828244
EDTXS4,37937.10203280099,37.41,1014.0898698957764
NNDPR,611052.0712440046,65.524,9325.622233746484
HACD4_num1,8268200.1,159.188,51939.84534010101
HACD7_num1,8268200.1,154.144,53639.45466576707
AACPS1,1931050.8301920076,97.98,19708.622475933942
SDPDS,960000.12,82.538,11631.00777823548
DMSOR1_num1,25963.80145754721,196.539,132.10508579746113
DKGLCNR2y,146520.0,70.792,2069.72539269974
2DGULRy,100490.4597834016,70.792,1419.517174022511
RZ5PP,35632.564502326226,23.308,1528.7697143610017
NTD9_num1,39600.0,40.51,977.5364107627747
NTD10,347934.6,26.9,12934.371747211895
ADPT,33588.0,39.718,845.6619165114054
ADK1,3396345883.200001,23.586,143998383.92266604
OCTDPS,48878852488.590034,70.434,693966727.5547326
AACPS2,1931050.8301920076,97.98,19708.622475933942
AACPS3,1931050.8301920076,97.98,19708.622475933942
AACPS4,23571.548477166874,97.98,240.5751018286066
AMANK,250200.0,59.288,4220.078262042909
ACNML,24300.0,130.372,186.38971558310064
CAT_num1,16882933.333333336,336.652,50149.51146386576
SERASr,11977.093323768264,141.991,84.35107382699088
DMSOR2,32765.36952591098,144.094,227.38885398358698
ACMAMUT,8052.546299099078,27.928,288.3323653358306
DDGALK,395302.4674200008,62.748,6299.841706827323
AB6PGH_num1,131400.0,212.644,617.9341998833731
AMALT1,141304660.0200009,78.503,1799990.5738634306
MLTP2,1281781.163376007,181.044,7079.9427949891015
PACCOAL,74805.14799550714,48.953,1528.101403295143
GP4GH,5662.701437262695,31.297,180.9343207739622
ACGAMT,104480.79568000266,40.957,2550.987515687249
AADDGT,8339.576202145077,40.64,205.206107336247
GMHEPK,17531.59651824339,102.102,171.70669054713315
TRE6PS,19620.0,214.444,91.4924176008655
UDCPDP_num1,28782.75169375559,58.042,495.8952429922399
