,kcat_1/s,MW_g/mmol,kcat/MW
ALATA_D2_num1,9300.5069976,90.6332,102.61699904229354
SHCHD2,1224.0,99.9028,12.251908855407455
CPPPGO,900.0,68.64529999999999,13.110875762798036
GTHOr,25901.6161428,97.545,265.53504682761803
DHORD5,38657.174040000005,36.774499999999996,1051.195095514555
GLYCTO2,50485.468176,137.2828,367.7479493133881
GLYCTO3,57086.121564,137.28280000000004,415.8286512512856
GLYCTO4,117077.842044,137.2828,852.8223640834831
PFK_3,208800.0,139.3682,1498.1896874609847
TRPS2,9309.2050944,143.4143,64.91127519640649
G3PD5_num1,60326.17992,148.42350000000005,406.4462832368189
LEUTAi_num1,54098.622612,204.5619,264.46089233625617
SHK3Dr,46104.63948,29.4136,1567.459932820192
G5SD,50400.0,178.5202,282.3209922462556
ALATA_L2_num1,22488.0471504,145.97880000000004,154.05008912527023
MAN6PI,39462.133968,42.85,920.9366153558926
APRAUR,1152.0,80.6766,14.279233383657717
DB4PS,1224.0,46.7069,26.205978131710733
RBFK,324.0,34.7343,9.327955364006185
ACP1_FMN_num1,23467.2357204,30.3709,772.6881890362156
RBFSb,108.0,70.33469999999998,1.5355151866717285
DMATT,432.0,32.1596,13.433002898045997
GRTT,432.0,32.1596,13.433002898045997
UPP3S,3600.0,27.7979,129.50618571906512
UPPDC1,2916.0,39.2481,74.2965901534087
TMDPP,30479.0006232,94.4142,322.8222091931087
HCO3E_num1,32760.0,100.3871,326.33675043905043
IMPC,17248.074814800002,57.32920000000001,300.86020413332125
IMPD,6480.0,208.08980000000005,31.14040188418653
ECOAH4_num1,41618.871828,77.0722,539.9984926860789
GLUTRS,324.0,53.8157,6.020547907023415
TMPPP,72.0,23.0153,3.128353747289846
URIK1,19423.538298,24.3531,797.5797043497541
URIK2,9433.6233336,24.3531,387.3684801359991
CYTDK1,9981.4541004,24.3531,409.8637996969585
CYTDK2,9559.0893528,24.353100000000005,392.5204328319597
XPPT,10439.9018712,67.8824,153.7939417463142
HXPRT_num1,17665.8458472,67.8824,260.2419161255347
NDPK5_num1,9864.9134928,23.586,418.25292515899264
DHORTS,37265.833836,77.6548,479.8909254289497
OMPDC,86400.0,52.7005,1639.4531361182533
CS,104400.0,288.0899,362.3868799288
ICDHyr,39600.0,91.5134,432.72351371493136
ACALD_num1,347838.28218,33.4425,10401.084912312175
ACS,32028.8113296,72.0936,444.2670546289824
PPA_num1,303342.672204,116.27190000000002,2608.907846212197
PPCK,97061.545872,59.6435,1627.3616717999446
ME1,60940.100376,252.78930000000003,241.0707271866333
ALAR_num1,113967.72324,77.68920000000001,1466.9699680264437
ALATA_L_num1,63159.7104,91.0347,693.7981934361293
XYLK_num1,24801.4977948,122.1788,202.99346363526243
RBK,59351.153832,64.581,919.018810981558
GLYK,45670.441968,224.9231000000001,203.04913976376807
PPM,158919.13972799998,44.37,3581.6799578093305
ASPTA_num1,13921.6490172,87.14669999999998,159.7495833714874
FBP_num1,274394.256768,68.64690000000002,3997.183511098097
GLGC,18829.6156188,194.7906,96.66593572174426
PYK_num1,427444.77816,205.4286,2080.7461967807794
A5PISO_num1,55549.16712,140.7843,394.56933138141113
IPPMIb,23255.0945712,72.3693,321.339222172938
ACHBS_num1,67064.871564,143.0927,468.6812923650193
ACLS_num1,241177.320468,161.9222,1489.4642023638512
PSCVT,75600.0,46.0958,1640.0626521288275
ANS,17526.9833028,228.7288,76.62779371377806
ANPRT,18000.0,113.73989999999999,158.2558099664234
CHORM_num1,123098.130864,86.22270000000002,1427.6765963487571
CHORS,151200.0,156.54980000000003,965.8268487088452
IGPS,18000.0,49.49229999999999,363.6929380934004
ECOAH6_num1,36593.980488,77.07220000000001,474.8012965505072
ENO,828000.0,91.30990000000001,9068.020006592931
FBA_num1,313200.0,78.2945,4000.280990363308
MGSA,10091.6424504,101.51149999999998,99.41378514158497
PPS,370888.94268,174.87019999999998,2120.938517140142
PGI,41112000.0,123.05949999999999,334082.2935246771
