gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl2192 and Cgl2194 and Cgl2195 and Cgl2523,"['1.930e-02', '1.951e-02']","['1.511e-02', '1.533e-02']",CYTBO3_4pp (16.71325125169586): 4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c,CYTBDpp (13.139384278815468): 2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,0.01937,0.01528,0.7889,29.33,down,0.0001071,"[('CYTBDpp', 123153.39015652175)]",142.7,,,,,,Overlaped Reaction Range
Cgl0937,"['1.229e-02', '1.249e-02']","['1.484e-02', '1.496e-02']",GAPD_num1 (7.3197156042691764): g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,GAPD_num1 (8.796911756515053): g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,0.01237,0.01486,1.202,28.53,Up,0.0003789,"[('GAPD_num1', 23220.0)]",39.23,GAPD_num1,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,,Overlaped Reaction Range
Cgl0366 and Cgl2207 and Cgl2248,"['4.985e-03', '5.165e-03']","['3.669e-03', '4.247e-03']",PDH (4.392635305061061): coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,PDH (3.5541931308281876): coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,0.005043,0.00408,0.8091,7.831,down,2.031e-06,"[('PDH', 1749600.0)]",2009.0,PDH,"['9.215e-01', '8.137e+00']","['0.000e+00', '5.233e+00']",coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,,Overlaped Reaction Range
Cgl0689,"['6.733e-04', '8.126e-04']","['2.410e-03', '2.495e-03']",PYRC (1.2127691036999377): atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,PYRC (4.232076054466598): atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,0.0006912,0.002412,3.49,4.629,Up,1.959e-05,"[('PYRC', 216000.0)]",123.1,PYRC,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,,Overlaped Reaction Range
Cgl0974,"['1.283e-03', '1.414e-03']","['1.647e-03', '1.701e-03']",ENO (6.857086824365388): 2pg_c --> h2o_c + pep_c,ENO (8.748213990209521): 2pg_c --> h2o_c + pep_c,0.001292,0.001649,1.276,3.165,Up,3.669e-05,"[('ENO', 238467.23027027023)]",44.95,ENO,"['3.380e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",2pg_c --> h2o_c + pep_c,,Overlaped Reaction Range
Cgl1540,"['5.313e-04', '6.643e-04']","['1.166e-03', '1.219e-03']","ACONTa (1.94785732355506): cit_c --> acon_C_c + h2o_c, ACONTb (1.94785732355506): acon_C_c + h2o_c --> icit_c","ACONTa (4.186005912273245): cit_c --> acon_C_c + h2o_c, ACONTb (4.186005912273245): acon_C_c + h2o_c --> icit_c",0.0005429,0.001167,2.149,2.239,Up,1.147e-05,"[('ACONTa', 730008.0), ('ACONTb', 730008.0)]",101.7,ACONTa,"['5.803e-01', '1.000e+03']","['4.173e+00', '1.000e+03']",cit_c --> acon_C_c + h2o_c,,Overlaped Reaction Range
Cgl1540,"['5.313e-04', '6.643e-04']","['1.166e-03', '1.219e-03']","ACONTa (1.94785732355506): cit_c --> acon_C_c + h2o_c, ACONTb (1.94785732355506): acon_C_c + h2o_c --> icit_c","ACONTa (4.186005912273245): cit_c --> acon_C_c + h2o_c, ACONTb (4.186005912273245): acon_C_c + h2o_c --> icit_c",0.0005429,0.001167,2.149,2.239,Up,1.147e-05,"[('ACONTa', 730008.0), ('ACONTb', 730008.0)]",101.7,ACONTb,"['5.803e-01', '1.000e+03']","['4.173e+00', '1.000e+03']",acon_C_c + h2o_c --> icit_c,,Overlaped Reaction Range
Cgl1250,"['8.004e-04', '9.334e-04']","['1.072e-03', '1.126e-03']",PFK (3.302195906011036): atp_c + f6p_c --> adp_c + fdp_c + h_c,PFK (4.367191784266846): atp_c + f6p_c --> adp_c + fdp_c + h_c,0.0008122,0.001074,1.323,2.061,Up,1.434e-05,"[('PFK', 304632.0)]",74.93,PFK_2,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,,Overlaped Reaction Range
Cgl1250,"['8.004e-04', '9.334e-04']","['1.072e-03', '1.126e-03']",PFK (3.302195906011036): atp_c + f6p_c --> adp_c + fdp_c + h_c,PFK (4.367191784266846): atp_c + f6p_c --> adp_c + fdp_c + h_c,0.0008122,0.001074,1.323,2.061,Up,1.434e-05,"[('PFK', 304632.0)]",74.93,PFK,"['1.378e+00', '9.363e+00']","['4.191e+00', '3.042e+01']",atp_c + f6p_c --> adp_c + fdp_c + h_c,,Overlaped Reaction Range
Cgl0696,"['3.946e-04', '5.659e-04']","['9.332e-04', '1.007e-03']",CS_num1 (1.94785732355506): accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,CS_num1 (4.186005912273245): accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,0.0004442,0.0009545,2.149,1.832,Up,1.121e-05,"[('CS_num1', 373337.1600171428)]",85.13,CS_num1,"['0.000e+00', '8.566e+00']","['0.000e+00', '3.040e+01']",accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,,Overlaped Reaction Range
