genes	enzymes	shortNames	MWs	pathways	actions	k_scores
Cgl0968	Cgl0968	G_Cgl0968	53629.2728		OE	1000
Cgl2135	Cgl2135	G_Cgl2135	47030.9271		OE	30.16625007
Cgl1971	Cgl1971	G_Cgl1971	31261.3584		OE	24.52471933
Cgl1973		G_Cgl1973	NaN		OE	24.52471933
Cgl2617	Cgl2617	G_Cgl2617	35198.9717		OE	24.5247193
Cgl0689	Cgl0689	G_Cgl0689	123101.8372		OE	12.55925849
Cgl2670	Cgl2670	G_Cgl2670	22228.0373		OE	8.809391212
Cgl0251	Cgl0251	G_Cgl0251	44754.1896		OE	7.577304641
Cgl0252	Cgl0252	G_Cgl0252	36211.4958		OE	7.577304641
Cgl1575	Cgl1575	G_Cgl1575	38328.48		OE	4.145497888
Cgl1598	Cgl1598	G_Cgl1598	23869.7148		OE	4.103329463
Cgl1574	Cgl1574	G_Cgl1574	72405.2472		OE	3.673071492
Cgl0240	Cgl0240	G_Cgl0240	47295.0026		OE	3.359708021
Cgl1578	Cgl1578	G_Cgl1578	24478.0099		OE	3.060029446
Cgl1452	Cgl1452	G_Cgl1452	52578.3697		OE	3.060029446
Cgl1576	Cgl1576	G_Cgl1576	54242.3629		OE	3.060029446
Cgl2423	Cgl2423	G_Cgl2423	16987.624		OE	2.085286964
Cgl2061	Cgl2061	G_Cgl2061	45405.226		OE	1.728919098
Cgl2079	Cgl2079	G_Cgl2079	48987.666		OE	1.207595472
Cgl1585	Cgl1585	G_Cgl1585	103196.3252		OE	1.081570427
Cgl1434	Cgl1434	G_Cgl1434	27090.878		KD	0.311986409
Cgl2526	Cgl2526	G_Cgl2526	18066.0418		KD	0.300409987
Cgl2248	Cgl2248	G_Cgl2248	102824.9665		KD	0.189657054
Cgl0366	Cgl0366	G_Cgl0366	50651.0874		KD	0.117145949
Cgl2207	Cgl2207	G_Cgl2207	70904.3102		KD	0.117145949
Cgl2786	Cgl2786	G_Cgl2786	40601.4499		KD	0.116959502
Cgl1540	Cgl1540	G_Cgl1540	101724.6405		KD	0.092641291
Cgl0664	Cgl0664	G_Cgl0664	80080.2833		KD	0.092641291
Cgl0696	Cgl0696	G_Cgl0696	42566.6067		KD	0.092641291
Cgl1010	Cgl1010	G_Cgl1010	50243.3157		KD	0.056608292
Cgl2566	Cgl2566	G_Cgl2566	41763.8821		KO	0.019596343
Cgl2565	Cgl2565	G_Cgl2565	30259.3912		KO	0.019596343
