gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl2192 and Cgl2194 and Cgl2195 and Cgl2523,"['1.930e-02', '1.951e-02']","['1.588e-02', '1.614e-02']",CYTBO3_4pp (16.71325125139873): 4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c,"CYTBDpp (11.34444076845095): 2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c, CYTBO3_4pp (2.510013401538835): 4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c",0.01937,0.01606,0.8293,21.12,down,0.0001125,"[('CYTBDpp', 123153.39015652175), ('CYTBO3_4pp', 123153.39015652175)]",142.7,,,,,,Overlaped Reaction Range
Cgl0937,"['1.229e-02', '1.249e-02']","['1.483e-02', '1.494e-02']",GAPD_num1 (7.319715604273584): g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,GAPD_num1 (8.793337989079278): g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,0.01237,0.01486,1.201,19.54,Up,0.0003787,"[('GAPD_num1', 23220.0)]",39.23,GAPD_num1,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,,Overlaped Reaction Range
Cgl1206 and Cgl1207 and Cgl1208 and Cgl1209 and Cgl1210 and Cgl1211 and Cgl1212 and Cgl1213,"['3.312e-02', '3.340e-02']","['8.168e-03', '8.829e-03']",ATPS4rpp (27.312439504586447): adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,ATPS4rpp (6.713551831302979): adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,0.03329,0.008182,0.2458,10.76,down,1.737e-05,"[('ATPS4rpp', 386596.0)]",471.2,,,,,,Overlaped Reaction Range
Cgl0689,"['6.733e-04', '8.126e-04']","['5.141e-03', '5.243e-03']",PYRC (1.2127691036877877): atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,PYRC (9.020935104093944): atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,0.0006912,0.005141,7.438,6.76,Up,4.176e-05,"[('PYRC', 216000.0)]",123.1,PYRC,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,,Overlaped Reaction Range
Cgl0251,"['6.967e-04', '8.767e-04']","['5.133e-03', '5.209e-03']",ASPK (0.4082974825357635): asp__L_c + atp_c --> 4pasp_c + adp_c,ASPK (2.7769602715923583): asp__L_c + atp_c --> 4pasp_c + adp_c,0.0007547,0.005133,6.801,6.75,Up,4.055e-05,"[('ASPK', 68478.9882352941)]",126.6,ASPK,"['3.473e-01', '1.000e+03']","['3.307e+00', '1.000e+03']",asp__L_c + atp_c --> 4pasp_c + adp_c,,Overlaped Reaction Range
Cgl0664,"['2.556e-03', '2.733e-03']","['3.770e-03', '3.851e-03']",ICDHyr (1.9478573234404892): icit_c + nadp_c --> akg_c + co2_c + nadph_c,ICDHyr (2.8120051323043125): icit_c + nadp_c --> akg_c + co2_c + nadph_c,0.002611,0.00377,1.444,4.957,Up,4.708e-05,"[('ICDHyr', 59731.2)]",80.08,ICDHyr,"['5.803e-01', '3.437e+00']","['6.109e-02', '1.920e+00']",icit_c + nadp_c --> akg_c + co2_c + nadph_c,,Overlaped Reaction Range
Cgl0366 and Cgl2207 and Cgl2248,"['4.986e-03', '5.165e-03']","['2.848e-03', '3.507e-03']",PDH (4.392635305094805): coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,PDH (3.003501129122068): coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,0.005043,0.003448,0.6838,4.534,down,1.717e-06,"[('PDH', 1749600.0)]",2009.0,PDH,"['9.215e-01', '8.137e+00']","['0.000e+00', '3.190e+00']",coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,,Overlaped Reaction Range
Cgl0366 and Cgl1129 and Cgl2207,"['1.526e-03', '1.695e-03']","['3.150e-03', '3.230e-03']",AKGDH (1.3749001511231531): akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,AKGDH (2.751693851007395): akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,0.001574,0.00315,2.001,4.142,Up,1.52e-06,"[('AKGDH', 1810260.0)]",2072.0,,,,,,Overlaped Reaction Range
Cgl2135,"['0.000e+00', '1.815e-04']","['1.895e-03', '2.046e-03']",,DAPDC_num2 (2.7496424689463503): 26dap__M_c + h_c --> co2_c + lys__L_c,5.976e-05,0.00197,32.96,2.59,Up,4.189e-05,"[('DAPDC_num2', 65646.0)]",47.03,DAPDC_num2,"['0.000e+00', '2.811e-01']","['0.000e+00', '3.451e+00']",26dap__M_c + h_c --> co2_c + lys__L_c,,Overlaped Reaction Range
Cgl0974,"['1.283e-03', '1.414e-03']","['1.647e-03', '1.725e-03']",ENO (6.857086824374432): 2pg_c --> h2o_c + pep_c,ENO (8.744640222773745): 2pg_c --> h2o_c + pep_c,0.001292,0.001648,1.275,2.167,Up,3.667e-05,"[('ENO', 238467.23027027023)]",44.95,ENO,"['3.380e+00', '1.000e+03']","['3.947e+00', '1.000e+03']",2pg_c --> h2o_c + pep_c,,Overlaped Reaction Range
Cgl0814,"['5.277e-05', '1.742e-04']","['1.412e-03', '1.488e-03']",SDPTA_reverse (0.1028590785522161): glu__L_c + sl2a6o_c --> akg_c + sl26da_c,SDPTA_reverse (2.7516888435537794): glu__L_c + sl2a6o_c --> akg_c + sl26da_c,5.277e-05,0.001412,26.75,1.856,Up,3.185e-05,"[('SDPTA_reverse', 86400.0)]",44.32,SDPTA,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",akg_c + sl26da_c --> glu__L_c + sl2a6o_c,,Overlaped Reaction Range
Cgl1250,"['8.004e-04', '9.334e-04']","['1.031e-03', '1.108e-03']",PFK (3.3021959060088997): atp_c + f6p_c --> adp_c + fdp_c + h_c,PFK (4.192020126103085): atp_c + f6p_c --> adp_c + fdp_c + h_c,0.0008122,0.001031,1.269,1.356,Up,1.376e-05,"[('PFK', 304632.0)]",74.93,PFK_2,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,,Overlaped Reaction Range
Cgl1250,"['8.004e-04', '9.334e-04']","['1.031e-03', '1.108e-03']",PFK (3.3021959060088997): atp_c + f6p_c --> adp_c + fdp_c + h_c,PFK (4.192020126103085): atp_c + f6p_c --> adp_c + fdp_c + h_c,0.0008122,0.001031,1.269,1.356,Up,1.376e-05,"[('PFK', 304632.0)]",74.93,PFK,"['1.378e+00', '9.363e+00']","['2.507e+00', '9.478e+00']",atp_c + f6p_c --> adp_c + fdp_c + h_c,,Overlaped Reaction Range
Cgl1540,"['5.313e-04', '6.643e-04']","['7.837e-04', '8.606e-04']","ACONTa (1.9478573234404892): cit_c --> acon_C_c + h2o_c, ACONTb (1.9478573234404892): acon_C_c + h2o_c --> icit_c","ACONTa (2.8120051323043125): cit_c --> acon_C_c + h2o_c, ACONTb (2.8120051323043125): acon_C_c + h2o_c --> icit_c",0.0005429,0.0007837,1.444,1.03,Up,7.704e-06,"[('ACONTa', 730008.0), ('ACONTb', 730008.0)]",101.7,ACONTa,"['5.803e-01', '1.000e+03']","['6.109e-02', '1.000e+03']",cit_c --> acon_C_c + h2o_c,,Overlaped Reaction Range
Cgl1540,"['5.313e-04', '6.643e-04']","['7.837e-04', '8.606e-04']","ACONTa (1.9478573234404892): cit_c --> acon_C_c + h2o_c, ACONTb (1.9478573234404892): acon_C_c + h2o_c --> icit_c","ACONTa (2.8120051323043125): cit_c --> acon_C_c + h2o_c, ACONTb (2.8120051323043125): acon_C_c + h2o_c --> icit_c",0.0005429,0.0007837,1.444,1.03,Up,7.704e-06,"[('ACONTa', 730008.0), ('ACONTb', 730008.0)]",101.7,ACONTb,"['5.803e-01', '1.000e+03']","['6.109e-02', '1.000e+03']",acon_C_c + h2o_c --> icit_c,,Overlaped Reaction Range
Cgl2770,"['5.215e-04', '6.512e-04']","['6.718e-04', '7.483e-04']",FBA (3.3021959060088997): fdp_c --> dhap_c + g3p_c,FBA (4.192020126103085): fdp_c --> dhap_c + g3p_c,0.0005292,0.0006718,1.269,0.8834,Up,1.805e-05,"[('FBA', 232200.0)]",37.21,FBA,"['1.378e+00', '1.000e+03']","['2.507e+00', '1.000e+03']",fdp_c --> dhap_c + g3p_c,,Overlaped Reaction Range
Cgl0696,"['3.946e-04', '5.659e-04']","['6.101e-04', '7.178e-04']",CS_num1 (1.9478573234404892): accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,CS_num1 (2.8120051323043125): accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,0.0004442,0.0006412,1.444,0.8432,Up,7.532e-06,"[('CS_num1', 373337.1600171428)]",85.13,CS_num1,"['0.000e+00', '8.566e+00']","['0.000e+00', '7.032e+00']",accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,,Overlaped Reaction Range
Cgl1943,"['2.328e-05', '1.453e-04']","['6.227e-04', '6.987e-04']",DAPE (0.1028590785522161): 26dap_LL_c --> 26dap__M_c,DAPE (2.7516888435537794): 26dap_LL_c --> 26dap__M_c,2.328e-05,0.0006227,26.75,0.8188,Up,1.066e-05,"[('DAPE', 258087.9)]",58.41,DAPE,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",26dap_LL_c --> 26dap__M_c,,Overlaped Reaction Range
Cgl1578,"['1.239e-03', '1.459e-03']","['5.738e-04', '6.934e-04']",PGL (2.8144430243600667): 6pgl_c + h2o_c --> 6pgc_c + h_c,PGL (1.2982586472067883): 6pgl_c + h2o_c --> 6pgc_c + h_c,0.001338,0.0006173,0.4613,0.8117,down,2.522e-05,"[('PGL', 51480.0)]",24.48,PGL,"['0.000e+00', '8.571e+00']","['7.742e-01', '6.351e+00']",6pgl_c + h2o_c --> 6pgc_c + h_c,,Overlaped Reaction Range
Cgl1623,"['5.827e-03', '5.948e-03']","['6.134e-04', '6.894e-04']",CHORS (0.10432548228820675): 3psme_c --> chor_c + pi_c,,0.005827,0.0006134,0.1053,0.8065,down,3.506e-06,,174.9,CHORS,"['1.057e-01', '2.432e-01']","['1.112e-02', '1.367e-01']",3psme_c --> chor_c + pi_c,,Overlaped Reaction Range
Cgl0240,"['1.332e-04', '2.551e-04']","['4.601e-04', '5.363e-04']",ASPTA_reverse (0.8181602799916805): glu__L_c + oaa_c --> akg_c + asp__L_c,ASPTA_reverse (2.826983706863015): glu__L_c + oaa_c --> akg_c + asp__L_c,0.0001332,0.0004601,3.455,0.605,Up,4.864e-06,"[('ASPTA_reverse', 581166.0)]",94.59,ASPTA,"['0.000e+00', '9.992e+02']","['0.000e+00', '9.966e+02']",akg_c + asp__L_c --> glu__L_c + oaa_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,3OAS100_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,3OAS120_num1,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.341e-02']",dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,3OAS121_num1,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.620e-02']",cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
