gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl0937,"['1.229e-02', '1.249e-02']","['1.354e-02', '1.366e-02']",GAPD_num1 (7.3197156042736555): g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,GAPD_num1 (8.032740538993238): g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,0.01237,0.01357,1.097,15.78,Up,0.0003459,"[('GAPD_num1', 23220.0)]",39.23,GAPD_num1,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,,Overlaped Reaction Range
Cgl2192 and Cgl2194 and Cgl2195 and Cgl2523,"['1.930e-02', '1.951e-02']","['8.437e-03', '8.732e-03']",CYTBO3_4pp (16.713251251393704): 4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c,"CYTBDpp (2.7212266883581715): 2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c, CYTBO3_4pp (4.73336589363174): 4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c",0.01937,0.008646,0.4464,10.05,down,6.058e-05,"[('CYTBDpp', 123153.39015652175), ('CYTBO3_4pp', 123153.39015652175)]",142.7,,,,,,Overlaped Reaction Range
Cgl1206 and Cgl1207 and Cgl1208 and Cgl1209 and Cgl1210 and Cgl1211 and Cgl1212 and Cgl1213,"['3.312e-02', '3.340e-02']","['5.020e-03', '5.503e-03']",ATPS4rpp (27.312439504579167): adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,ATPS4rpp (4.130231252837966): adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,0.03329,0.005034,0.1512,5.852,down,1.068e-05,"[('ATPS4rpp', 386596.0)]",471.2,,,,,,Overlaped Reaction Range
Cgl0689,"['6.733e-04', '8.132e-04']","['4.797e-03', '4.910e-03']",PYRC (1.2127691036875687): atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,PYRC (8.417878647669028): atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,0.0006912,0.004797,6.941,5.577,Up,3.897e-05,"[('PYRC', 216000.0)]",123.1,PYRC,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,,Overlaped Reaction Range
Cgl1578,"['1.239e-03', '1.460e-03']","['1.656e-03', '1.788e-03']",PGL (2.814443024360357): 6pgl_c + h2o_c --> 6pgc_c + h_c,PGL (3.5800509974615817): 6pgl_c + h2o_c --> 6pgc_c + h_c,0.001338,0.001702,1.272,1.979,Up,6.954e-05,"[('PGL', 51480.0)]",24.48,PGL,"['0.000e+00', '8.571e+00']","['0.000e+00', '3.587e+00']",6pgl_c + h2o_c --> 6pgc_c + h_c,,Overlaped Reaction Range
Cgl0974,"['1.283e-03', '1.414e-03']","['1.503e-03', '1.591e-03']",ENO (6.8570868243745835): 2pg_c --> h2o_c + pep_c,ENO (7.984042772687671): 2pg_c --> h2o_c + pep_c,0.001292,0.001505,1.164,1.75,Up,3.348e-05,"[('ENO', 238467.23027027023)]",44.95,ENO,"['3.380e+00', '1.000e+03']","['4.561e+00', '1.000e+03']",2pg_c --> h2o_c + pep_c,,Overlaped Reaction Range
Cgl0240,"['1.332e-04', '2.551e-04']","['1.229e-03', '1.315e-03']",ASPTA_reverse (0.8181602799915507): glu__L_c + oaa_c --> akg_c + asp__L_c,ASPTA_reverse (7.54810940103405): glu__L_c + oaa_c --> akg_c + asp__L_c,0.0001332,0.001229,9.226,1.428,Up,1.299e-05,"[('ASPTA_reverse', 581166.0)]",94.59,ASPTA,"['0.000e+00', '9.992e+02']","['0.000e+00', '9.925e+02']",akg_c + asp__L_c --> glu__L_c + oaa_c,,Overlaped Reaction Range
Cgl1623,"['5.827e-03', '5.948e-03']","['6.134e-04', '6.991e-04']",CHORS (0.10432548228818884): 3psme_c --> chor_c + pi_c,,0.005827,0.0006134,0.1053,0.7131,down,3.506e-06,,174.9,CHORS,"['1.057e-01', '2.432e-01']","['1.112e-02', '1.367e-01']",3psme_c --> chor_c + pi_c,,Overlaped Reaction Range
Cgl2079,"['1.736e-04', '2.737e-04']","['4.673e-04', '5.547e-04']",GLUDy (2.8961211436900576): akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,GLUDy (7.766842123528384): akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,0.0001747,0.0004686,2.682,0.5448,Up,1.594e-06,"[('GLUDy', 4871280.0)]",293.9,GLUDy,"['0.000e+00', '1.736e+01']","['7.887e-01', '1.473e+01']",akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.136e-04', '5.304e-04']","3OAS100_num1 (0.18833934715413447): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128658092): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128658092): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479321942): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715413433): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715413447): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715413433): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5101,down,2.974e-05,,14.75,3OAS100_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c,,Overlaped Reaction Range
