CGKG_ID	Uniprot_ID	GEM_ID	InterPro	KEGG_ID	CGL_RS_ID	NCgl_ID	Cgl_ID	cg_ID	CoryneRegNet_ID	Gene_Name	Gene_Type	EC_Number	Genome_Info
CGKG_G00001	Q8NUD8		IPR001957#IPR003593#IPR010921#IPR013159#IPR013317#IPR018312#IPR020591#IPR027417	Cgl0001	CGL_RS00005	NCgl0001	Cgl0001	cg0001		dnaA	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013309.1', 'Product': 'chromosomal replication initiator protein DnaA', 'Start': '0', 'End': '1575', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599253.1', 'Product': 'ATPase involved in DNA replication initiation', 'Start': '0', 'End': '1575', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97394.1', 'Product': 'ATPase involved in DNA replication initiation', 'Start': '0', 'End': '1575', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18566.1', 'Product': 'CHROMOSOMAL REPLICATION INITIATOR PROTEIN', 'Start': '0', 'End': '1575', 'Strand': '+'}]"
CGKG_G00002	Q8NUD6		IPR001001#IPR022634#IPR022635#IPR022637	Cgl0003	CGL_RS00010	NCgl0002	Cgl0003	cg0004		dnaN	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003855336.1', 'Product': 'DNA polymerase III subunit beta', 'Start': '2291', 'End': '3476', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599254.1', 'Product': 'DNA polymerase III beta subunit', 'Start': '2291', 'End': '3476', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97396.1', 'Product': 'DNA polymerase III beta subunit', 'Start': '2291', 'End': '3476', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18568.1', 'Product': 'DNA POLYMERASE III, BETA SUBUNIT', 'Start': '2291', 'End': '3476', 'Strand': '+'}]"
CGKG_G00003	Q6M8X7		IPR001238#IPR003395#IPR018078#IPR027417	Cgl0004	CGL_RS00015	NCgl0003	Cgl0004	cg0005		recF	Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013310.1', 'Product': 'DNA replication/repair protein RecF', 'Start': '3584', 'End': '4769', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599255.1', 'Product': 'recombinational DNA repair ATPase', 'Start': '3584', 'End': '4769', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97397.1', 'Product': 'Recombinational DNA repair ATPase', 'Start': '3584', 'End': '4769', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18569.1', 'Product': 'DNA REPAIR AND GENETIC RECOMBINATION PROTEIN', 'Start': '3584', 'End': '4769', 'Strand': '+'}]"
CGKG_G00004	Q8NUD4		IPR007922#IPR023007	Cgl0005	CGL_RS00020	NCgl0004	Cgl0005	cg0006			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003855338.1', 'Product': 'DUF721 domain-containing protein', 'Start': '4765', 'End': '5302', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599256.1', 'Product': 'hypothetical protein', 'Start': '4765', 'End': '5302', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97398.1', 'Product': 'Hypothetical protein', 'Start': '4765', 'End': '5302', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18570.1', 'Product': 'CONSERVED HYPOTHETICAL PROTEIN', 'Start': '4813', 'End': '5302', 'Strand': '+'}]"
CGKG_G00005	Q8NUD3		IPR001241#IPR002288#IPR003594#IPR006171#IPR011557#IPR013506#IPR013759#IPR013760#IPR014721#IPR018522#IPR020568	Cgl0006	CGL_RS00025	NCgl0005	Cgl0006	cg0007		gyrB	Enzyme	5.6.2.2	"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013311.1', 'Product': 'DNA topoisomerase (ATP-hydrolyzing) subunit B', 'Start': '5434', 'End': '7489', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599257.1', 'Product': 'DNA gyrase (topoisomerase II) B subunit', 'Start': '5434', 'End': '7489', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97399.1', 'Product': 'DNA gyrase (topoisomerase II) B subunit', 'Start': '5353', 'End': '7489', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18571.1', 'Product': 'DNA GYRASE SUBUNIT B', 'Start': '5434', 'End': '7489', 'Strand': '+'}]"
CGKG_G00006	Q8NUD2		IPR017208#IPR029058	Cgl0007	CGL_RS00030	NCgl0006	Cgl0007	cg0008			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_231838280.1', 'Product': 'alpha/beta fold hydrolase', 'Start': '7922', 'End': '8798', 'Strand': '+'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599258.1', 'Product': 'predicted hydrolase or acyltransferase', 'Start': '7829', 'End': '8798', 'Strand': '+'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97400.1', 'Product': 'Hypothetical protein', 'Start': '7829', 'End': '8798', 'Strand': '+'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18572.1', 'Product': 'HYPOTHETICAL PROTEIN', 'Start': '7829', 'End': '8798', 'Strand': '+'}]"
CGKG_G00007	Q8NUD1		IPR003740	Cgl0008	CGL_RS00035	NCgl0007	Cgl0008	cg0009			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003855341.1', 'Product': 'DUF6198 family protein', 'Start': '8794', 'End': '9376', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599259.1', 'Product': 'hypothetical membrane protein', 'Start': '8794', 'End': '9400', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97401.1', 'Product': 'Hypothetical membrane protein', 'Start': '8794', 'End': '9466', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18573.1', 'Product': 'UNCHARACTERIZED MEMBRANE PROTEIN', 'Start': '8794', 'End': '9466', 'Strand': '-'}]"
CGKG_G00008	Q8NUD0			Cgl0009	CGL_RS00040	NCgl0008	Cgl0009	cg0010			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013314.1', 'Product': 'hypothetical protein', 'Start': '9470', 'End': '9914', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599260.1', 'Product': 'hypothetical protein', 'Start': '9470', 'End': '9914', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97402.1', 'Product': 'Hypothetical protein', 'Start': '9470', 'End': '9914', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18574.1', 'Product': 'conserved hypothetical protein', 'Start': '9470', 'End': '9914', 'Strand': '-'}]"
CGKG_G00009	Q8NUC9		IPR011991	Cgl0010	CGL_RS00045	NCgl0009	Cgl0010	cg0012		ssuR	TF		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_011013315.1', 'Product': 'transcriptional regulator SsuR', 'Start': '10103', 'End': '11177', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599261.2', 'Product': 'hypothetical transcriptional regulator', 'Start': '10103', 'End': '11177', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97403.1', 'Product': 'Hypothetical protein', 'Start': '10103', 'End': '11177', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18575.1', 'Product': 'PUTATIVE TRANSCRIPTION REGULATOR PROTEIN', 'Start': '10103', 'End': '11177', 'Strand': '-'}]"
CGKG_G00010	Q8NUC8			Cgl0011	CGL_RS00050	NCgl0010	Cgl0011	cg0013			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003855344.1', 'Product': 'hypothetical protein', 'Start': '11259', 'End': '11523', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599262.1', 'Product': 'hypothetical protein', 'Start': '11259', 'End': '11523', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97404.1', 'Product': 'Hypothetical protein', 'Start': '11259', 'End': '11523', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18576.1', 'Product': 'Bacterial regulatory proteins, tetR family', 'Start': '11259', 'End': '11523', 'Strand': '-'}]"
CGKG_G00011	Q8NUC7			Cgl0012	CGL_RS00055	NCgl0011	Cgl0012	cg0014			Gene		"[{'Reference_Genome': 'NC_003450.3', 'Protein_ID': 'WP_003855345.1', 'Product': 'hypothetical protein', 'Start': '11519', 'End': '11729', 'Strand': '-'}, {'Reference_Genome': 'NC_003450.2', 'Protein_ID': 'NP_599263.1', 'Product': 'hypothetical protein', 'Start': '11519', 'End': '11768', 'Strand': '-'}, {'Reference_Genome': 'BA000036.3', 'Protein_ID': 'BAB97405.1', 'Product': 'Hypothetical protein', 'Start': '11519', 'End': '11768', 'Strand': '-'}, {'Reference_Genome': 'BX927147.1', 'Protein_ID': 'CAF18577.1', 'Product': 'Helix-turn-helix protein, copG family', 'Start': '11519', 'End': '11768', 'Strand': '-'}]"
